strain,generation,clade,reference,population,mutator,facility,run,read_type,read_length,sequencing_depth,cit
ZDB464,20000,"(C1,C2)",Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098285,single,36,29.7,unknown
REL10979,40000,C3+H,Blount et al. 2012,Ara-3,plus,MSU RTSF,SRR098029,single,36,30.1,plus
REL10988,40000,C2,Blount et al. 2012,Ara-3,plus,MSU RTSF,SRR098030,single,36,30.2,minus
REL2181A,5000,,Tenaillon et al. 2016,Ara-3,None,MSU RTSF,SRR2589044,paired,150,60.2,unknown
REL966A,1000,,Tenaillon et al. 2016,Ara-3,None,IntraGen,SRR2589001,paired,101,67.3,unknown
REL764B,500,,Tenaillon et al. 2016,Ara-3,None,IntraGen,SRR2584853,paired,101,82.4,unknown
REL1166A,2000,,Tenaillon et al. 2016,Ara-3,None,IntraGen,SRR2584859,paired,101,85.9,unknown
ZDB429,10000,UC,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098282,single,35,87.3,unknown
REL7179B,15000,,Tenaillon et al. 2016,Ara-3,None,MSU RTSF,SRR2584863,paired,150,88,unknown
REL1070A,1500,,Tenaillon et al. 2016,Ara-3,None,IntraGen,SRR2584857,paired,101,92,unknown
REL4538A,10000,UC,Tenaillon et al. 2016,Ara-3,None,MSU RTSF,SRR2589045,paired,150,99.5,unknown
REL966B,1000,,Tenaillon et al. 2016,Ara-3,None,IntraGen,SRR2584856,paired,101,101.2,unknown
REL1070B,1500,,Tenaillon et al. 2016,Ara-3,None,IntraGen,SRR2584858,paired,101,102.4,unknown
REL1166B,2000,,Tenaillon et al. 2016,Ara-3,None,MSU RTSF,SRR2591041,paired,150,108.5,unknown
ZDB357,30000,C2,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098280,single,35,111.2,unknown
REL764A,500,,Tenaillon et al. 2016,Ara-3,None,IntraGen,SRR2584852,paired,101,113.4,unknown
ZDB16,30000,C1,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098031,single,35,113.9,unknown
ZDB458,20000,"(C1,C2)",Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098284,single,35,126.8,unknown
REL11365,50000,C3+H,Tenaillon et al. 2016,Ara-3,plus,MSU RTSF,SRR2584866,paired,150,138.3,plus
ZDB446,15000,UC,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098283,single,35,141.1,unknown
ZDB409,5000,unknown,Blount et al. 2012,Ara-3,,MSU RTSF,SRR098281,single,35,144.2,unknown
REL11364,50000,C3+H,Tenaillon et al. 2016,Ara-3,plus,MSU RTSF,SRR2584864,single,51,156.6,plus
ZDB467,20000,"(C1,C2)",Blount et al. 2012,Ara-3,,MSU RTSF,SRR098286,single,35,,unknown
ZDB477,25000,C1,Blount et al. 2012,Ara-3,,MSU RTSF,SRR098287,single,35,,unknown
ZDB483,25000,C3,Blount et al. 2012,Ara-3,,MSU RTSF,SRR098288,single,35,,unknown
ZDB199,31500,C1,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098044,single,35,,minus
ZDB200,31500,C2,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098279,single,35,,minus
ZDB564,31500,C3+,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098289,single,36,,plus
ZDB172,32000,C3+,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098042,single,36,,plus
ZDB30,32000,C3,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098032,single,36,,minus
ZDB143,32500,C2,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098041,single,35,,minus
ZDB158,32500,C2,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098040,single,35,,minus
CZB152,33000,C3+,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098027,single,36,,plus
CZB154,33000,C3+,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR097977,single,36,,plus
CZB199,33000,C1,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098026,single,35,,minus
ZDB83,34000,C3+,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098034,single,36,,plus
ZDB87,34000,C2,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098035,single,36,,minus
ZDB96,36000,C3+H,Blount et al. 2012,Ara-3,plus,MSU RTSF,SRR098036,single,36,,plus
ZDB99,36000,C1,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098037,single,36,,minus
ZDB107,38000,C3+H,Blount et al. 2012,Ara-3,plus,MSU RTSF,SRR098038,single,36,,plus
ZDB111,38000,C2,Blount et al. 2012,Ara-3,None,MSU RTSF,SRR098039,single,36,,minus
ZDB1,10000,,Leon et al. 2018,Ara-3,,UTA GSAF,SRR6178299,paired,101,,unknown
ZDB425,10000,,Leon et al. 2018,Ara-3,,UTA GSAF,SRR6178304,paired,101,,unknown
ZDB445,15000,,Leon et al. 2018,Ara-3,,UTA GSAF,SRR6178301,paired,101,,unknown
ZDB478,25000,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178302,paired,101,,unknown
ZDB486,25000,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178309,paired,101,,unknown
ZDB488,25000,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178310,paired,101,,unknown
ZDB309,27000,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178307,paired,101,,unknown
ZDB310,27000,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178308,paired,101,,unknown
ZDB317,27000,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178305,paired,101,,unknown
ZDB334,28000,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178306,paired,101,,unknown
ZDB339,28000,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178303,paired,101,,unknown
ZDB13,29000,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178300,paired,101,,unknown
ZDB14,29000,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178297,paired,101,,unknown
ZDB17,30000,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178298,paired,101,,unknown
ZDB18,30000,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178295,paired,101,,unknown
ZDB19,30500,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178296,paired,101,,unknown
ZDB20,30500,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178293,paired,101,,unknown
ZDB23,31000,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178294,paired,101,,unknown
ZDB25,31500,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178291,paired,101,,minus
ZDB27,31500,C3,Leon et al. 2018,Ara-3,None,UTA GSAF,SRR6178292,paired,101,,minus
REL606A,0,,unknown,,,,,,,,
